# gbpCode colour map
#    type      = iso
#    hue       = 300 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 069 to 069
  0 0.7156 0.6078 0.9735
  1 0.7208 0.6061 0.9713
  2 0.7259 0.6045 0.9691
  3 0.7310 0.6028 0.9668
  4 0.7361 0.6011 0.9645
  5 0.7411 0.5995 0.9622
  6 0.7461 0.5978 0.9598
  7 0.7510 0.5961 0.9573
  8 0.7559 0.5945 0.9549
  9 0.7607 0.5928 0.9523
 10 0.7655 0.5912 0.9498
 11 0.7702 0.5895 0.9471
 12 0.7749 0.5879 0.9445
 13 0.7795 0.5862 0.9418
 14 0.7841 0.5846 0.9391
 15 0.7886 0.5830 0.9363
 16 0.7931 0.5813 0.9335
 17 0.7975 0.5797 0.9306
 18 0.8019 0.5781 0.9277
 19 0.8063 0.5765 0.9248
 20 0.8106 0.5749 0.9218
 21 0.8148 0.5733 0.9188
 22 0.8190 0.5717 0.9157
 23 0.8232 0.5701 0.9126
 24 0.8273 0.5685 0.9095
 25 0.8313 0.5670 0.9064
 26 0.8353 0.5654 0.9032
 27 0.8393 0.5639 0.8999
 28 0.8432 0.5623 0.8967
 29 0.8470 0.5608 0.8934
 30 0.8508 0.5593 0.8900
 31 0.8546 0.5578 0.8867
 32 0.8583 0.5563 0.8833
 33 0.8619 0.5549 0.8799
 34 0.8655 0.5534 0.8764
 35 0.8691 0.5520 0.8729
 36 0.8726 0.5505 0.8694
 37 0.8760 0.5491 0.8658
 38 0.8794 0.5477 0.8623
 39 0.8828 0.5464 0.8587
 40 0.8861 0.5450 0.8550
 41 0.8893 0.5437 0.8514
 42 0.8925 0.5423 0.8477
 43 0.8957 0.5410 0.8440
 44 0.8987 0.5397 0.8402
 45 0.9018 0.5385 0.8365
 46 0.9048 0.5372 0.8327
 47 0.9077 0.5360 0.8289
 48 0.9106 0.5348 0.8250
 49 0.9134 0.5336 0.8212
 50 0.9162 0.5324 0.8173
 51 0.9189 0.5313 0.8134
 52 0.9216 0.5302 0.8095
 53 0.9242 0.5291 0.8055
 54 0.9268 0.5280 0.8016
 55 0.9293 0.5269 0.7976
 56 0.9318 0.5259 0.7936
 57 0.9342 0.5249 0.7896
 58 0.9365 0.5239 0.7855
 59 0.9388 0.5230 0.7815
 60 0.9411 0.5221 0.7774
 61 0.9433 0.5212 0.7733
 62 0.9454 0.5203 0.7692
 63 0.9475 0.5195 0.7651
 64 0.9496 0.5187 0.7610
 65 0.9516 0.5179 0.7569
 66 0.9535 0.5171 0.7527
 67 0.9554 0.5164 0.7485
 68 0.9572 0.5157 0.7444
 69 0.9590 0.5150 0.7402
 70 0.9607 0.5144 0.7360
 71 0.9624 0.5138 0.7318
 72 0.9640 0.5132 0.7276
 73 0.9656 0.5127 0.7233
 74 0.9671 0.5121 0.7191
 75 0.9686 0.5117 0.7149
 76 0.9700 0.5112 0.7106
 77 0.9713 0.5108 0.7064
 78 0.9726 0.5104 0.7021
 79 0.9739 0.5100 0.6979
 80 0.9751 0.5097 0.6936
 81 0.9762 0.5094 0.6893
 82 0.9773 0.5092 0.6850
 83 0.9784 0.5089 0.6808
 84 0.9794 0.5087 0.6765
 85 0.9803 0.5086 0.6722
 86 0.9812 0.5084 0.6679
 87 0.9820 0.5083 0.6636
 88 0.9828 0.5083 0.6594
 89 0.9835 0.5083 0.6551
 90 0.9842 0.5083 0.6508
 91 0.9848 0.5083 0.6465
 92 0.9854 0.5084 0.6423
 93 0.9859 0.5085 0.6380
 94 0.9864 0.5086 0.6337
 95 0.9868 0.5088 0.6295
 96 0.9872 0.5090 0.6252
 97 0.9875 0.5092 0.6209
 98 0.9878 0.5095 0.6167
 99 0.9880 0.5097 0.6124
100 0.9882 0.5101 0.6082
101 0.9883 0.5104 0.6040
102 0.9884 0.5108 0.5997
103 0.9884 0.5112 0.5955
104 0.9883 0.5117 0.5913
105 0.9883 0.5122 0.5871
106 0.9881 0.5127 0.5829
107 0.9879 0.5132 0.5788
108 0.9877 0.5138 0.5746
109 0.9874 0.5144 0.5704
110 0.9871 0.5151 0.5663
111 0.9867 0.5157 0.5622
112 0.9863 0.5164 0.5580
113 0.9858 0.5171 0.5539
114 0.9853 0.5179 0.5498
115 0.9848 0.5187 0.5458
116 0.9841 0.5195 0.5417
117 0.9835 0.5203 0.5376
118 0.9828 0.5211 0.5336
119 0.9820 0.5220 0.5296
120 0.9812 0.5229 0.5256
121 0.9804 0.5239 0.5216
122 0.9795 0.5248 0.5176
123 0.9785 0.5258 0.5137
124 0.9775 0.5268 0.5097
125 0.9765 0.5278 0.5058
126 0.9754 0.5289 0.5019
127 0.9743 0.5300 0.4980
128 0.9731 0.5311 0.4942
129 0.9719 0.5322 0.4903
130 0.9707 0.5333 0.4865
131 0.9694 0.5345 0.4827
132 0.9680 0.5357 0.4790
133 0.9666 0.5369 0.4752
134 0.9652 0.5381 0.4715
135 0.9637 0.5393 0.4678
136 0.9622 0.5406 0.4641
137 0.9607 0.5419 0.4604
138 0.9591 0.5431 0.4568
139 0.9574 0.5445 0.4532
140 0.9557 0.5458 0.4496
141 0.9540 0.5471 0.4460
142 0.9523 0.5485 0.4425
143 0.9504 0.5498 0.4390
144 0.9486 0.5512 0.4355
145 0.9467 0.5526 0.4321
146 0.9448 0.5540 0.4286
147 0.9428 0.5555 0.4252
148 0.9408 0.5569 0.4219
149 0.9388 0.5583 0.4185
150 0.9367 0.5598 0.4152
151 0.9346 0.5613 0.4119
152 0.9324 0.5628 0.4087
153 0.9302 0.5642 0.4055
154 0.9280 0.5657 0.4023
155 0.9257 0.5673 0.3991
156 0.9234 0.5688 0.3960
157 0.9211 0.5703 0.3929
158 0.9187 0.5718 0.3899
159 0.9163 0.5734 0.3868
160 0.9138 0.5749 0.3838
161 0.9113 0.5765 0.3809
162 0.9088 0.5780 0.3780
163 0.9062 0.5796 0.3751
164 0.9036 0.5812 0.3722
165 0.9010 0.5828 0.3694
166 0.8984 0.5843 0.3667
167 0.8957 0.5859 0.3639
168 0.8929 0.5875 0.3612
169 0.8902 0.5891 0.3586
170 0.8874 0.5907 0.3560
171 0.8846 0.5923 0.3534
172 0.8817 0.5939 0.3509
173 0.8788 0.5955 0.3484
174 0.8759 0.5971 0.3459
175 0.8729 0.5987 0.3435
176 0.8700 0.6003 0.3412
177 0.8670 0.6019 0.3389
178 0.8639 0.6035 0.3366
179 0.8608 0.6051 0.3344
180 0.8577 0.6067 0.3322
181 0.8546 0.6083 0.3301
182 0.8515 0.6099 0.3280
183 0.8483 0.6115 0.3260
184 0.8450 0.6131 0.3240
185 0.8418 0.6147 0.3220
186 0.8385 0.6163 0.3202
187 0.8352 0.6179 0.3183
188 0.8319 0.6195 0.3165
189 0.8286 0.6211 0.3148
190 0.8252 0.6227 0.3131
191 0.8218 0.6242 0.3115
192 0.8183 0.6258 0.3099
193 0.8149 0.6274 0.3084
194 0.8114 0.6289 0.3070
195 0.8079 0.6305 0.3056
196 0.8044 0.6320 0.3042
197 0.8008 0.6336 0.3029
198 0.7972 0.6351 0.3017
199 0.7936 0.6367 0.3005
200 0.7900 0.6382 0.2994
201 0.7863 0.6397 0.2984
202 0.7826 0.6412 0.2974
203 0.7789 0.6428 0.2965
204 0.7752 0.6443 0.2956
205 0.7715 0.6458 0.2948
206 0.7677 0.6472 0.2941
207 0.7639 0.6487 0.2934
208 0.7601 0.6502 0.2928
209 0.7563 0.6517 0.2922
210 0.7524 0.6531 0.2917
211 0.7485 0.6546 0.2913
212 0.7446 0.6560 0.2909
213 0.7407 0.6575 0.2907
214 0.7368 0.6589 0.2904
215 0.7328 0.6603 0.2903
216 0.7288 0.6617 0.2902
217 0.7248 0.6631 0.2902
218 0.7208 0.6645 0.2902
219 0.7168 0.6659 0.2903
220 0.7127 0.6673 0.2905
221 0.7086 0.6686 0.2907
222 0.7045 0.6700 0.2910
223 0.7004 0.6713 0.2914
224 0.6962 0.6727 0.2918
225 0.6921 0.6740 0.2924
226 0.6879 0.6753 0.2929
227 0.6837 0.6766 0.2936
228 0.6795 0.6779 0.2943
229 0.6753 0.6792 0.2950
230 0.6710 0.6805 0.2959
231 0.6667 0.6818 0.2968
232 0.6625 0.6830 0.2978
233 0.6581 0.6843 0.2988
234 0.6538 0.6855 0.2999
235 0.6495 0.6867 0.3010
236 0.6451 0.6879 0.3023
237 0.6407 0.6892 0.3036
238 0.6363 0.6903 0.3049
239 0.6319 0.6915 0.3063
240 0.6275 0.6927 0.3078
241 0.6230 0.6939 0.3093
242 0.6186 0.6950 0.3109
243 0.6141 0.6962 0.3126
244 0.6096 0.6973 0.3143
245 0.6050 0.6984 0.3161
246 0.6005 0.6995 0.3179
247 0.5959 0.7006 0.3198
248 0.5914 0.7017 0.3217
249 0.5868 0.7028 0.3237
250 0.5821 0.7038 0.3258
251 0.5775 0.7049 0.3279
252 0.5728 0.7059 0.3300
253 0.5682 0.7070 0.3323
254 0.5635 0.7080 0.3345
255 0.5587 0.7090 0.3369
