# gbpCode colour map
#    type      = linear
#    hue       = 030 degrees
#    radius    = -01 degrees
#    chroma    = 050
#    luminance = 000 to 071
  0 0.2229 0.0000 0.0000
  1 0.2251 0.0000 0.0000
  2 0.2274 0.0000 0.0000
  3 0.2296 0.0000 0.0000
  4 0.2319 0.0000 0.0000
  5 0.2343 0.0000 0.0000
  6 0.2366 0.0000 0.0000
  7 0.2390 0.0000 0.0000
  8 0.2414 0.0000 0.0000
  9 0.2437 0.0000 0.0000
 10 0.2461 0.0000 0.0000
 11 0.2485 0.0000 0.0000
 12 0.2508 0.0000 0.0000
 13 0.2531 0.0000 0.0000
 14 0.2554 0.0000 0.0000
 15 0.2577 0.0000 0.0002
 16 0.2600 0.0000 0.0163
 17 0.2622 0.0000 0.0323
 18 0.2644 0.0000 0.0478
 19 0.2665 0.0000 0.0609
 20 0.2686 0.0000 0.0722
 21 0.2706 0.0000 0.0822
 22 0.2726 0.0000 0.0913
 23 0.2746 0.0000 0.0997
 24 0.2764 0.0000 0.1076
 25 0.2781 0.0000 0.1156
 26 0.2797 0.0000 0.1237
 27 0.2811 0.0000 0.1318
 28 0.2824 0.0000 0.1400
 29 0.2835 0.0000 0.1483
 30 0.2844 0.0000 0.1566
 31 0.2852 0.0000 0.1650
 32 0.2857 0.0000 0.1734
 33 0.2861 0.0000 0.1818
 34 0.2863 0.0000 0.1902
 35 0.2862 0.0000 0.1987
 36 0.2860 0.0000 0.2072
 37 0.2856 0.0000 0.2156
 38 0.2849 0.0000 0.2241
 39 0.2840 0.0000 0.2325
 40 0.2830 0.0000 0.2410
 41 0.2817 0.0000 0.2494
 42 0.2802 0.0000 0.2578
 43 0.2784 0.0000 0.2661
 44 0.2765 0.0000 0.2744
 45 0.2743 0.0000 0.2827
 46 0.2719 0.0000 0.2909
 47 0.2692 0.0000 0.2990
 48 0.2663 0.0000 0.3071
 49 0.2631 0.0000 0.3152
 50 0.2597 0.0000 0.3231
 51 0.2560 0.0083 0.3310
 52 0.2520 0.0189 0.3388
 53 0.2477 0.0300 0.3465
