# gbpCode colour map
#    type      = linear
#    hue       = 180 degrees
#    radius    = 001 degrees
#    chroma    = 050
#    luminance = 000 to 090
  0 0.0000 0.1128 0.0000
  1 0.0000 0.1151 0.0054
  2 0.0000 0.1174 0.0224
  3 0.0000 0.1196 0.0393
  4 0.0000 0.1217 0.0545
  5 0.0000 0.1237 0.0672
  6 0.0000 0.1257 0.0782
  7 0.0000 0.1276 0.0881
  8 0.0000 0.1294 0.0971
  9 0.0000 0.1312 0.1061
 10 0.0000 0.1330 0.1152
 11 0.0000 0.1347 0.1242
 12 0.0000 0.1363 0.1333
 13 0.0000 0.1379 0.1424
 14 0.0000 0.1395 0.1515
 15 0.0000 0.1411 0.1607
 16 0.0000 0.1426 0.1698
 17 0.0000 0.1441 0.1789
 18 0.0000 0.1455 0.1881
 19 0.0000 0.1469 0.1972
 20 0.0000 0.1483 0.2063
 21 0.0000 0.1497 0.2153
 22 0.0000 0.1510 0.2244
 23 0.0000 0.1524 0.2334
 24 0.0000 0.1537 0.2423
 25 0.0000 0.1552 0.2513
 26 0.0000 0.1567 0.2601
 27 0.0000 0.1583 0.2689
 28 0.0000 0.1600 0.2776
 29 0.0000 0.1617 0.2863
 30 0.0000 0.1635 0.2948
 31 0.0000 0.1654 0.3033
 32 0.0000 0.1673 0.3117
 33 0.0000 0.1693 0.3200
 34 0.0000 0.1714 0.3282
 35 0.0000 0.1735 0.3364
 36 0.0000 0.1757 0.3444
 37 0.0000 0.1779 0.3523
 38 0.0000 0.1802 0.3601
 39 0.0000 0.1825 0.3678
 40 0.0000 0.1850 0.3753
 41 0.0000 0.1874 0.3827
 42 0.0000 0.1898 0.3900
 43 0.0000 0.1921 0.3972
 44 0.0000 0.1943 0.4042
 45 0.0000 0.1966 0.4111
 46 0.0000 0.1987 0.4179
 47 0.0000 0.2008 0.4245
 48 0.0000 0.2028 0.4310
 49 0.0000 0.2047 0.4373
 50 0.0000 0.2066 0.4434
 51 0.0000 0.2084 0.4494
 52 0.0000 0.2102 0.4553
 53 0.0000 0.2119 0.4610
 54 0.0000 0.2135 0.4665
 55 0.0000 0.2150 0.4718
 56 0.0000 0.2165 0.4770
 57 0.0000 0.2179 0.4820
 58 0.0000 0.2192 0.4868
 59 0.0000 0.2205 0.4915
 60 0.0000 0.2216 0.4959
 61 0.0000 0.2227 0.5002
 62 0.0000 0.2238 0.5044
 63 0.0000 0.2247 0.5083
 64 0.0000 0.2256 0.5120
 65 0.0000 0.2264 0.5156
 66 0.0000 0.2271 0.5190
 67 0.0000 0.2278 0.5222
 68 0.0000 0.2284 0.5252
 69 0.0000 0.2289 0.5281
 70 0.0000 0.2293 0.5307
 71 0.0000 0.2297 0.5332
 72 0.0099 0.2300 0.5354
 73 0.0637 0.2302 0.5375
 74 0.1001 0.2304 0.5394
 75 0.1283 0.2305 0.5412
 76 0.1525 0.2305 0.5427
 77 0.1740 0.2305 0.5441
 78 0.1937 0.2304 0.5453
 79 0.2121 0.2303 0.5463
 80 0.2295 0.2301 0.5471
 81 0.2460 0.2298 0.5477
 82 0.2618 0.2295 0.5482
 83 0.2771 0.2292 0.5485
 84 0.2918 0.2288 0.5486
 85 0.3061 0.2284 0.5486
 86 0.3199 0.2279 0.5484
 87 0.3335 0.2274 0.5480
 88 0.3467 0.2269 0.5475
 89 0.3596 0.2263 0.5468
 90 0.3722 0.2258 0.5459
 91 0.3846 0.2252 0.5449
 92 0.3967 0.2246 0.5437
 93 0.4086 0.2240 0.5424
 94 0.4202 0.2234 0.5409
 95 0.4316 0.2229 0.5393
 96 0.4429 0.2223 0.5376
 97 0.4539 0.2218 0.5357
 98 0.4647 0.2213 0.5337
 99 0.4754 0.2209 0.5315
100 0.4858 0.2205 0.5292
101 0.4961 0.2201 0.5268
102 0.5062 0.2198 0.5243
103 0.5161 0.2196 0.5217
104 0.5258 0.2195 0.5189
105 0.5353 0.2194 0.5160
106 0.5447 0.2195 0.5130
107 0.5538 0.2196 0.5100
108 0.5629 0.2199 0.5068
109 0.5717 0.2203 0.5035
110 0.5803 0.2208 0.5001
111 0.5888 0.2214 0.4967
112 0.5971 0.2222 0.4931
113 0.6053 0.2231 0.4895
114 0.6132 0.2241 0.4858
115 0.6210 0.2254 0.4821
