# gbpCode colour map
#    type      = linear
#    hue       = 180 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 000 to 067
  0 0.0000 0.1128 0.0000
  1 0.0000 0.1143 0.0000
  2 0.0000 0.1159 0.0000
  3 0.0000 0.1173 0.0000
  4 0.0000 0.1188 0.0000
  5 0.0000 0.1202 0.0000
  6 0.0000 0.1215 0.0000
  7 0.0000 0.1229 0.0000
  8 0.0000 0.1242 0.0000
  9 0.0000 0.1254 0.0000
 10 0.0000 0.1266 0.0000
 11 0.0000 0.1278 0.0000
 12 0.0000 0.1290 0.0000
 13 0.0000 0.1301 0.0000
 14 0.0000 0.1312 0.0000
 15 0.0000 0.1323 0.0000
 16 0.0000 0.1334 0.0000
 17 0.0000 0.1344 0.0000
 18 0.0000 0.1354 0.0000
 19 0.0000 0.1363 0.0000
 20 0.0000 0.1373 0.0000
 21 0.0000 0.1382 0.0000
 22 0.0000 0.1391 0.0000
 23 0.0000 0.1400 0.0000
 24 0.0000 0.1408 0.0000
 25 0.0000 0.1417 0.0000
 26 0.0000 0.1425 0.0000
 27 0.0000 0.1432 0.0000
 28 0.0000 0.1440 0.0000
 29 0.0000 0.1448 0.0000
 30 0.0000 0.1455 0.0000
 31 0.0000 0.1462 0.0000
 32 0.0000 0.1470 0.0000
 33 0.0000 0.1478 0.0000
 34 0.0000 0.1486 0.0000
 35 0.0000 0.1494 0.0000
 36 0.0000 0.1503 0.0000
 37 0.0000 0.1513 0.0000
 38 0.0000 0.1523 0.0000
 39 0.0000 0.1533 0.0000
 40 0.0000 0.1543 0.0000
 41 0.0000 0.1554 0.0000
 42 0.0000 0.1565 0.0000
 43 0.0000 0.1577 0.0000
 44 0.0000 0.1589 0.0000
 45 0.0000 0.1602 0.0000
 46 0.0000 0.1614 0.0000
 47 0.0000 0.1627 0.0000
 48 0.0000 0.1641 0.0000
 49 0.0000 0.1655 0.0000
 50 0.0000 0.1669 0.0000
 51 0.0027 0.1684 0.0000
