# gbpCode colour map
#    type      = iso
#    hue       = 240 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 067 to 067
  0 0.0000 0.7006 0.9451
  1 0.0000 0.6997 0.9473
  2 0.0000 0.6988 0.9495
  3 0.0000 0.6979 0.9516
  4 0.0000 0.6970 0.9537
  5 0.0000 0.6961 0.9558
  6 0.0000 0.6952 0.9578
  7 0.0000 0.6942 0.9597
  8 0.0000 0.6933 0.9616
  9 0.0000 0.6923 0.9635
 10 0.0236 0.6913 0.9653
 11 0.0638 0.6903 0.9670
 12 0.0920 0.6893 0.9687
 13 0.1146 0.6883 0.9704
 14 0.1339 0.6872 0.9720
 15 0.1512 0.6862 0.9735
 16 0.1669 0.6851 0.9750
 17 0.1815 0.6841 0.9765
 18 0.1951 0.6830 0.9779
 19 0.2080 0.6819 0.9792
 20 0.2203 0.6808 0.9805
 21 0.2321 0.6796 0.9817
 22 0.2434 0.6785 0.9829
 23 0.2544 0.6774 0.9841
 24 0.2650 0.6762 0.9851
 25 0.2753 0.6750 0.9862
 26 0.2853 0.6739 0.9872
 27 0.2950 0.6727 0.9881
 28 0.3046 0.6715 0.9889
 29 0.3139 0.6702 0.9898
 30 0.3231 0.6690 0.9905
 31 0.3321 0.6678 0.9912
 32 0.3409 0.6665 0.9919
 33 0.3495 0.6652 0.9925
 34 0.3581 0.6640 0.9930
 35 0.3665 0.6627 0.9935
 36 0.3748 0.6614 0.9940
 37 0.3829 0.6601 0.9943
 38 0.3910 0.6587 0.9947
 39 0.3989 0.6574 0.9950
 40 0.4068 0.6561 0.9952
 41 0.4145 0.6547 0.9953
 42 0.4222 0.6533 0.9955
 43 0.4298 0.6520 0.9955
 44 0.4373 0.6506 0.9955
 45 0.4447 0.6492 0.9955
 46 0.4520 0.6478 0.9954
 47 0.4593 0.6463 0.9952
 48 0.4665 0.6449 0.9950
 49 0.4736 0.6435 0.9947
 50 0.4807 0.6420 0.9944
 51 0.4877 0.6405 0.9940
 52 0.4946 0.6391 0.9936
 53 0.5015 0.6376 0.9931
 54 0.5083 0.6361 0.9926
 55 0.5150 0.6346 0.9920
 56 0.5217 0.6331 0.9913
 57 0.5284 0.6316 0.9906
 58 0.5349 0.6301 0.9899
 59 0.5414 0.6285 0.9891
 60 0.5479 0.6270 0.9882
 61 0.5543 0.6254 0.9873
 62 0.5607 0.6239 0.9863
 63 0.5670 0.6223 0.9853
 64 0.5732 0.6207 0.9843
 65 0.5794 0.6192 0.9831
 66 0.5856 0.6176 0.9820
 67 0.5917 0.6160 0.9807
 68 0.5977 0.6144 0.9795
 69 0.6037 0.6128 0.9781
 70 0.6097 0.6112 0.9768
 71 0.6156 0.6096 0.9753
 72 0.6214 0.6079 0.9739
 73 0.6272 0.6063 0.9723
 74 0.6330 0.6047 0.9707
 75 0.6387 0.6030 0.9691
 76 0.6443 0.6014 0.9674
 77 0.6500 0.5997 0.9657
 78 0.6555 0.5981 0.9639
 79 0.6610 0.5964 0.9621
 80 0.6665 0.5948 0.9602
 81 0.6719 0.5931 0.9583
 82 0.6773 0.5915 0.9563
 83 0.6826 0.5898 0.9543
 84 0.6879 0.5881 0.9522
 85 0.6931 0.5865 0.9501
 86 0.6983 0.5848 0.9480
 87 0.7035 0.5832 0.9458
 88 0.7085 0.5815 0.9435
 89 0.7136 0.5798 0.9412
 90 0.7186 0.5781 0.9389
 91 0.7235 0.5765 0.9365
 92 0.7284 0.5748 0.9341
 93 0.7333 0.5732 0.9316
 94 0.7381 0.5715 0.9291
 95 0.7428 0.5698 0.9265
 96 0.7475 0.5682 0.9239
 97 0.7522 0.5665 0.9213
 98 0.7568 0.5649 0.9186
 99 0.7614 0.5632 0.9159
100 0.7659 0.5616 0.9131
101 0.7704 0.5600 0.9103
102 0.7748 0.5583 0.9075
103 0.7792 0.5567 0.9046
104 0.7835 0.5551 0.9017
105 0.7877 0.5535 0.8987
106 0.7920 0.5519 0.8957
107 0.7961 0.5503 0.8927
108 0.8003 0.5487 0.8896
109 0.8043 0.5471 0.8865
110 0.8084 0.5455 0.8834
111 0.8123 0.5440 0.8802
112 0.8163 0.5424 0.8770
113 0.8202 0.5409 0.8737
114 0.8240 0.5394 0.8705
115 0.8278 0.5378 0.8672
116 0.8315 0.5363 0.8638
117 0.8352 0.5348 0.8604
118 0.8388 0.5334 0.8570
