# gbpCode colour map
#    type      = linear
#    hue       = 000 degrees
#    radius    = 001 degrees
#    chroma    = 050
#    luminance = 000 to 070
  0 0.2229 0.0000 0.0121
  1 0.2255 0.0000 0.0042
  2 0.2281 0.0000 0.0000
  3 0.2305 0.0000 0.0000
  4 0.2330 0.0000 0.0000
  5 0.2353 0.0000 0.0000
  6 0.2376 0.0000 0.0000
  7 0.2398 0.0000 0.0000
  8 0.2420 0.0000 0.0000
  9 0.2440 0.0000 0.0000
 10 0.2460 0.0000 0.0000
 11 0.2480 0.0000 0.0000
 12 0.2498 0.0000 0.0000
 13 0.2516 0.0000 0.0000
 14 0.2532 0.0000 0.0000
 15 0.2549 0.0000 0.0000
 16 0.2564 0.0000 0.0000
 17 0.2578 0.0000 0.0000
 18 0.2592 0.0000 0.0000
 19 0.2605 0.0000 0.0000
 20 0.2616 0.0000 0.0000
 21 0.2628 0.0000 0.0000
 22 0.2638 0.0000 0.0000
 23 0.2647 0.0000 0.0000
 24 0.2656 0.0000 0.0000
 25 0.2664 0.0000 0.0000
 26 0.2671 0.0000 0.0000
 27 0.2677 0.0000 0.0000
 28 0.2682 0.0000 0.0000
 29 0.2686 0.0000 0.0000
 30 0.2690 0.0000 0.0000
 31 0.2692 0.0000 0.0000
 32 0.2694 0.0000 0.0000
 33 0.2694 0.0000 0.0000
 34 0.2693 0.0000 0.0000
 35 0.2691 0.0000 0.0000
 36 0.2688 0.0000 0.0000
 37 0.2684 0.0000 0.0000
 38 0.2679 0.0000 0.0000
 39 0.2673 0.0075 0.0000
 40 0.2666 0.0159 0.0000
 41 0.2658 0.0246 0.0000
 42 0.2649 0.0336 0.0000
 43 0.2638 0.0428 0.0000
 44 0.2627 0.0514 0.0000
 45 0.2615 0.0593 0.0000
 46 0.2601 0.0668 0.0000
 47 0.2587 0.0738 0.0000
 48 0.2571 0.0805 0.0000
 49 0.2555 0.0870 0.0000
 50 0.2537 0.0932 0.0000
 51 0.2519 0.0992 0.0000
