# gbpCode colour map
#    type      = linear
#    hue       = 030 degrees
#    radius    = -01 degrees
#    chroma    = 050
#    luminance = 000 to 074
  0 0.2229 0.0000 0.0000
  1 0.2256 0.0000 0.0000
  2 0.2282 0.0000 0.0000
  3 0.2308 0.0000 0.0000
  4 0.2334 0.0000 0.0000
  5 0.2359 0.0000 0.0000
  6 0.2383 0.0000 0.0000
  7 0.2407 0.0000 0.0000
  8 0.2429 0.0000 0.0000
  9 0.2451 0.0000 0.0000
 10 0.2472 0.0000 0.0000
 11 0.2491 0.0000 0.0032
 12 0.2509 0.0000 0.0253
 13 0.2525 0.0000 0.0470
 14 0.2540 0.0000 0.0647
 15 0.2554 0.0000 0.0793
 16 0.2566 0.0000 0.0919
 17 0.2576 0.0000 0.1032
 18 0.2583 0.0000 0.1139
 19 0.2587 0.0000 0.1248
 20 0.2588 0.0000 0.1358
 21 0.2584 0.0000 0.1470
 22 0.2577 0.0000 0.1582
 23 0.2566 0.0000 0.1694
 24 0.2550 0.0000 0.1807
 25 0.2531 0.0000 0.1919
 26 0.2507 0.0000 0.2032
 27 0.2479 0.0000 0.2144
 28 0.2446 0.0000 0.2255
 29 0.2408 0.0000 0.2366
 30 0.2366 0.0000 0.2476
 31 0.2317 0.0000 0.2584
 32 0.2264 0.0000 0.2691
 33 0.2204 0.0000 0.2797
 34 0.2138 0.0000 0.2901
 35 0.2066 0.0000 0.3003
 36 0.1986 0.0000 0.3102
 37 0.1899 0.0102 0.3200
 38 0.1804 0.0229 0.3295
 39 0.1699 0.0360 0.3388
 40 0.1583 0.0489 0.3478
 41 0.1454 0.0604 0.3565
 42 0.1309 0.0707 0.3650
 43 0.1143 0.0802 0.3731
 44 0.0948 0.0891 0.3809
 45 0.0705 0.0975 0.3884
 46 0.0367 0.1054 0.3955
 47 0.0000 0.1130 0.4023
 48 0.0000 0.1203 0.4088
 49 0.0000 0.1273 0.4149
 50 0.0000 0.1340 0.4206
 51 0.0000 0.1405 0.4259
 52 0.0000 0.1468 0.4308
 53 0.0000 0.1529 0.4353
 54 0.0000 0.1589 0.4395
 55 0.0000 0.1646 0.4432
 56 0.0000 0.1703 0.4466
 57 0.0000 0.1757 0.4495
 58 0.0000 0.1810 0.4520
 59 0.0000 0.1862 0.4541
 60 0.0000 0.1913 0.4558
 61 0.0000 0.1963 0.4570
 62 0.0000 0.2011 0.4579
 63 0.0000 0.2058 0.4584
 64 0.0000 0.2105 0.4584
 65 0.0000 0.2150 0.4581
 66 0.0000 0.2195 0.4573
 67 0.0000 0.2238 0.4561
