# gbpCode colour map
#    type      = linear
#    hue       = 240 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 000 to 077
  0 0.0000 0.0807 0.2508
  1 0.0000 0.0847 0.2509
  2 0.0000 0.0885 0.2509
  3 0.0000 0.0922 0.2509
  4 0.0000 0.0957 0.2508
  5 0.0000 0.0990 0.2506
  6 0.0000 0.1023 0.2503
  7 0.0000 0.1054 0.2500
  8 0.0000 0.1085 0.2496
  9 0.0000 0.1114 0.2491
 10 0.0000 0.1142 0.2486
 11 0.0000 0.1170 0.2479
 12 0.0000 0.1197 0.2472
 13 0.0000 0.1223 0.2465
 14 0.0000 0.1249 0.2456
 15 0.0000 0.1273 0.2447
 16 0.0000 0.1297 0.2438
 17 0.0000 0.1321 0.2427
 18 0.0000 0.1344 0.2416
 19 0.0000 0.1366 0.2405
 20 0.0000 0.1388 0.2393
 21 0.0000 0.1409 0.2380
 22 0.0000 0.1430 0.2367
 23 0.0000 0.1450 0.2353
 24 0.0000 0.1470 0.2338
 25 0.0000 0.1490 0.2323
 26 0.0000 0.1509 0.2308
 27 0.0000 0.1528 0.2291
 28 0.0000 0.1547 0.2275
 29 0.0000 0.1566 0.2258
 30 0.0000 0.1586 0.2240
 31 0.0000 0.1606 0.2222
 32 0.0000 0.1626 0.2203
 33 0.0000 0.1646 0.2184
 34 0.0000 0.1667 0.2164
 35 0.0000 0.1688 0.2144
 36 0.0000 0.1709 0.2123
 37 0.0000 0.1731 0.2102
 38 0.0000 0.1753 0.2081
 39 0.0000 0.1775 0.2059
 40 0.0000 0.1797 0.2036
 41 0.0000 0.1819 0.2014
 42 0.0000 0.1842 0.1990
 43 0.0000 0.1865 0.1967
 44 0.0000 0.1888 0.1943
 45 0.0000 0.1912 0.1919
 46 0.0000 0.1936 0.1894
 47 0.0000 0.1960 0.1869
 48 0.0000 0.1984 0.1844
 49 0.0000 0.2008 0.1818
 50 0.0000 0.2033 0.1792
 51 0.0000 0.2057 0.1766
 52 0.0000 0.2082 0.1739
 53 0.0000 0.2108 0.1712
 54 0.0000 0.2133 0.1685
 55 0.0000 0.2159 0.1658
 56 0.0000 0.2184 0.1630
 57 0.0000 0.2210 0.1602
 58 0.0000 0.2237 0.1574
 59 0.0000 0.2263 0.1545
 60 0.0000 0.2290 0.1516
 61 0.0000 0.2316 0.1487
 62 0.0000 0.2343 0.1457
 63 0.0000 0.2370 0.1428
 64 0.0000 0.2398 0.1398
 65 0.0000 0.2425 0.1367
 66 0.0000 0.2452 0.1337
 67 0.0000 0.2480 0.1306
 68 0.0000 0.2507 0.1275
 69 0.0000 0.2534 0.1243
 70 0.0000 0.2561 0.1211
 71 0.0000 0.2587 0.1179
 72 0.0000 0.2614 0.1147
 73 0.0000 0.2641 0.1114
 74 0.0000 0.2667 0.1081
 75 0.0000 0.2693 0.1048
 76 0.0000 0.2720 0.1014
 77 0.0000 0.2746 0.0980
 78 0.0000 0.2772 0.0945
 79 0.0000 0.2797 0.0910
 80 0.0000 0.2823 0.0875
 81 0.0000 0.2848 0.0838
 82 0.0000 0.2874 0.0802
 83 0.0000 0.2899 0.0764
 84 0.0000 0.2924 0.0726
 85 0.0000 0.2948 0.0687
 86 0.0000 0.2973 0.0647
 87 0.0000 0.2997 0.0607
 88 0.0000 0.3022 0.0565
 89 0.0000 0.3046 0.0522
 90 0.0000 0.3069 0.0477
 91 0.0000 0.3093 0.0431
 92 0.0000 0.3116 0.0383
 93 0.0000 0.3140 0.0334
 94 0.0000 0.3162 0.0288
 95 0.0000 0.3185 0.0242
 96 0.0000 0.3208 0.0198
 97 0.0000 0.3230 0.0155
 98 0.0000 0.3252 0.0113
 99 0.0000 0.3274 0.0073
100 0.0143 0.3295 0.0033
101 0.0395 0.3317 0.0000
102 0.0619 0.3338 0.0000
103 0.0802 0.3358 0.0000
104 0.0961 0.3379 0.0000
105 0.1106 0.3399 0.0000
106 0.1240 0.3419 0.0000
107 0.1366 0.3439 0.0000
108 0.1486 0.3458 0.0000
109 0.1600 0.3477 0.0000
110 0.1711 0.3496 0.0000
111 0.1819 0.3515 0.0000
112 0.1923 0.3533 0.0000
113 0.2026 0.3551 0.0000
114 0.2126 0.3569 0.0000
115 0.2225 0.3586 0.0000
116 0.2322 0.3603 0.0000
117 0.2418 0.3620 0.0000
118 0.2513 0.3636 0.0000
119 0.2606 0.3653 0.0000
120 0.2699 0.3668 0.0000
121 0.2791 0.3684 0.0000
122 0.2882 0.3699 0.0000
123 0.2973 0.3714 0.0000
124 0.3063 0.3729 0.0000
125 0.3152 0.3743 0.0000
126 0.3241 0.3757 0.0000
127 0.3330 0.3771 0.0000
128 0.3418 0.3784 0.0000
129 0.3505 0.3798 0.0000
130 0.3593 0.3810 0.0000
131 0.3680 0.3823 0.0000
132 0.3766 0.3835 0.0000
133 0.3853 0.3847 0.0000
134 0.3939 0.3859 0.0000
135 0.4025 0.3870 0.0000
136 0.4110 0.3881 0.0000
137 0.4195 0.3892 0.0000
138 0.4280 0.3902 0.0000
139 0.4365 0.3912 0.0000
140 0.4450 0.3922 0.0000
141 0.4534 0.3932 0.0000
142 0.4618 0.3941 0.0000
143 0.4702 0.3950 0.0000
144 0.4785 0.3959 0.0008
145 0.4868 0.3967 0.0070
146 0.4951 0.3976 0.0137
147 0.5034 0.3984 0.0208
148 0.5117 0.3991 0.0285
149 0.5199 0.3999 0.0367
150 0.5281 0.4006 0.0452
151 0.5362 0.4013 0.0533
152 0.5444 0.4020 0.0611
153 0.5525 0.4027 0.0687
154 0.5605 0.4034 0.0760
155 0.5686 0.4040 0.0832
156 0.5766 0.4046 0.0903
157 0.5845 0.4052 0.0974
158 0.5925 0.4058 0.1043
159 0.6004 0.4064 0.1113
160 0.6082 0.4070 0.1182
161 0.6160 0.4075 0.1250
162 0.6238 0.4081 0.1319
163 0.6315 0.4086 0.1388
164 0.6392 0.4092 0.1456
165 0.6469 0.4097 0.1525
166 0.6545 0.4102 0.1594
167 0.6620 0.4107 0.1663
168 0.6695 0.4113 0.1733
169 0.6770 0.4118 0.1803
170 0.6844 0.4123 0.1873
171 0.6917 0.4128 0.1944
172 0.6990 0.4134 0.2015
173 0.7063 0.4139 0.2086
174 0.7135 0.4145 0.2158
175 0.7206 0.4150 0.2230
176 0.7276 0.4156 0.2303
177 0.7346 0.4162 0.2377
178 0.7416 0.4168 0.2451
179 0.7485 0.4174 0.2525
180 0.7553 0.4181 0.2600
181 0.7620 0.4188 0.2676
182 0.7687 0.4195 0.2752
183 0.7753 0.4202 0.2828
184 0.7818 0.4210 0.2906
185 0.7883 0.4217 0.2983
186 0.7947 0.4226 0.3062
187 0.8010 0.4234 0.3141
188 0.8072 0.4243 0.3220
189 0.8134 0.4252 0.3300
190 0.8195 0.4262 0.3381
191 0.8255 0.4272 0.3463
192 0.8314 0.4283 0.3544
193 0.8372 0.4294 0.3627
194 0.8430 0.4306 0.3710
195 0.8486 0.4318 0.3794
196 0.8542 0.4330 0.3878
197 0.8597 0.4343 0.3962
198 0.8651 0.4357 0.4048
199 0.8704 0.4371 0.4134
200 0.8756 0.4386 0.4220
201 0.8807 0.4402 0.4307
202 0.8857 0.4418 0.4394
203 0.8906 0.4435 0.4482
204 0.8954 0.4452 0.4571
205 0.9001 0.4470 0.4659
206 0.9047 0.4489 0.4749
207 0.9092 0.4508 0.4839
208 0.9136 0.4529 0.4929
209 0.9179 0.4549 0.5020
210 0.9221 0.4571 0.5111
211 0.9262 0.4593 0.5203
212 0.9302 0.4616 0.5295
213 0.9341 0.4640 0.5387
214 0.9378 0.4665 0.5480
215 0.9415 0.4690 0.5573
216 0.9450 0.4716 0.5666
217 0.9485 0.4743 0.5760
218 0.9518 0.4771 0.5854
219 0.9550 0.4799 0.5949
220 0.9580 0.4829 0.6043
221 0.9610 0.4859 0.6138
222 0.9639 0.4889 0.6233
223 0.9666 0.4921 0.6329
224 0.9692 0.4953 0.6424
225 0.9717 0.4986 0.6520
226 0.9741 0.5020 0.6616
227 0.9763 0.5055 0.6712
228 0.9784 0.5090 0.6808
229 0.9804 0.5126 0.6905
230 0.9823 0.5163 0.7001
231 0.9841 0.5200 0.7097
232 0.9857 0.5239 0.7194
233 0.9872 0.5278 0.7290
234 0.9886 0.5317 0.7387
235 0.9899 0.5358 0.7483
236 0.9910 0.5399 0.7580
237 0.9920 0.5440 0.7676
238 0.9929 0.5483 0.7773
239 0.9937 0.5526 0.7869
240 0.9943 0.5569 0.7965
241 0.9948 0.5614 0.8061
242 0.9952 0.5658 0.8156
243 0.9954 0.5704 0.8252
244 0.9956 0.5750 0.8347
245 0.9956 0.5797 0.8442
246 0.9954 0.5844 0.8537
247 0.9952 0.5892 0.8632
248 0.9948 0.5940 0.8726
249 0.9943 0.5989 0.8820
250 0.9936 0.6038 0.8913
251 0.9929 0.6088 0.9006
252 0.9920 0.6138 0.9099
253 0.9910 0.6189 0.9192
254 0.9898 0.6240 0.9283
255 0.9886 0.6291 0.9375
