# gbpCode colour map
#    type      = blue
#    hue       = 000 degrees
#    radius    = 000 degrees
#    chroma    = 000
#    luminance = 000 to 100
  0 0.0000 0.0000 0.0000
  1 0.0000 0.0000 0.0039
  2 0.0000 0.0000 0.0078
  3 0.0000 0.0000 0.0118
  4 0.0000 0.0000 0.0157
  5 0.0000 0.0000 0.0196
  6 0.0000 0.0000 0.0235
  7 0.0000 0.0000 0.0275
  8 0.0000 0.0000 0.0314
  9 0.0000 0.0000 0.0353
 10 0.0000 0.0000 0.0392
 11 0.0000 0.0000 0.0431
 12 0.0000 0.0000 0.0471
 13 0.0000 0.0000 0.0510
 14 0.0000 0.0000 0.0549
 15 0.0000 0.0000 0.0588
 16 0.0000 0.0000 0.0627
 17 0.0000 0.0000 0.0667
 18 0.0000 0.0000 0.0706
 19 0.0000 0.0000 0.0745
 20 0.0000 0.0000 0.0784
 21 0.0000 0.0000 0.0824
 22 0.0000 0.0000 0.0863
 23 0.0000 0.0000 0.0902
 24 0.0000 0.0000 0.0941
 25 0.0000 0.0000 0.0980
 26 0.0000 0.0000 0.1020
 27 0.0000 0.0000 0.1059
 28 0.0000 0.0000 0.1098
 29 0.0000 0.0000 0.1137
 30 0.0000 0.0000 0.1176
 31 0.0000 0.0000 0.1216
 32 0.0000 0.0000 0.1255
 33 0.0000 0.0000 0.1294
 34 0.0000 0.0000 0.1333
 35 0.0000 0.0000 0.1373
 36 0.0000 0.0000 0.1412
 37 0.0000 0.0000 0.1451
 38 0.0000 0.0000 0.1490
 39 0.0000 0.0000 0.1529
 40 0.0000 0.0000 0.1569
 41 0.0000 0.0000 0.1608
 42 0.0000 0.0000 0.1647
 43 0.0000 0.0000 0.1686
 44 0.0000 0.0000 0.1725
 45 0.0000 0.0000 0.1765
 46 0.0000 0.0000 0.1804
 47 0.0000 0.0000 0.1843
 48 0.0000 0.0000 0.1882
 49 0.0000 0.0000 0.1922
 50 0.0000 0.0000 0.1961
 51 0.0000 0.0000 0.2000
 52 0.0000 0.0000 0.2039
 53 0.0000 0.0000 0.2078
 54 0.0000 0.0000 0.2118
 55 0.0000 0.0000 0.2157
 56 0.0000 0.0000 0.2196
 57 0.0000 0.0000 0.2235
 58 0.0000 0.0000 0.2275
 59 0.0000 0.0000 0.2314
 60 0.0000 0.0000 0.2353
 61 0.0000 0.0000 0.2392
 62 0.0000 0.0000 0.2431
 63 0.0000 0.0000 0.2471
 64 0.0000 0.0000 0.2510
 65 0.0000 0.0000 0.2549
 66 0.0000 0.0000 0.2588
 67 0.0000 0.0000 0.2627
 68 0.0000 0.0000 0.2667
 69 0.0000 0.0000 0.2706
 70 0.0000 0.0000 0.2745
 71 0.0000 0.0000 0.2784
 72 0.0000 0.0000 0.2824
 73 0.0000 0.0000 0.2863
 74 0.0000 0.0000 0.2902
 75 0.0000 0.0000 0.2941
 76 0.0000 0.0000 0.2980
 77 0.0000 0.0000 0.3020
 78 0.0000 0.0000 0.3059
 79 0.0000 0.0000 0.3098
 80 0.0000 0.0000 0.3137
 81 0.0000 0.0000 0.3176
 82 0.0000 0.0000 0.3216
 83 0.0000 0.0000 0.3255
 84 0.0000 0.0000 0.3294
 85 0.0000 0.0000 0.3333
 86 0.0000 0.0000 0.3373
 87 0.0000 0.0000 0.3412
 88 0.0000 0.0000 0.3451
 89 0.0000 0.0000 0.3490
 90 0.0000 0.0000 0.3529
 91 0.0000 0.0000 0.3569
