# gbpCode colour map
#    type      = greyscale
#    hue       = 000 degrees
#    radius    = 000 degrees
#    chroma    = 000
#    luminance = 000 to 100
  0 0.0000 0.0000 0.0000
  1 0.0056 0.0056 0.0056
  2 0.0111 0.0111 0.0111
  3 0.0167 0.0167 0.0167
  4 0.0222 0.0222 0.0222
  5 0.0278 0.0278 0.0278
  6 0.0333 0.0333 0.0333
  7 0.0389 0.0389 0.0389
  8 0.0443 0.0443 0.0443
  9 0.0492 0.0492 0.0492
 10 0.0539 0.0539 0.0539
 11 0.0583 0.0583 0.0583
 12 0.0625 0.0625 0.0625
 13 0.0665 0.0665 0.0665
 14 0.0703 0.0703 0.0703
 15 0.0740 0.0740 0.0740
 16 0.0775 0.0775 0.0775
 17 0.0809 0.0809 0.0809
 18 0.0842 0.0842 0.0842
 19 0.0873 0.0873 0.0873
 20 0.0904 0.0904 0.0904
 21 0.0934 0.0934 0.0934
 22 0.0964 0.0964 0.0964
 23 0.0994 0.0994 0.0994
 24 0.1024 0.1024 0.1024
 25 0.1054 0.1054 0.1054
 26 0.1084 0.1084 0.1084
 27 0.1115 0.1115 0.1115
 28 0.1145 0.1145 0.1145
 29 0.1176 0.1176 0.1176
 30 0.1207 0.1207 0.1207
 31 0.1238 0.1238 0.1238
 32 0.1269 0.1269 0.1269
 33 0.1300 0.1300 0.1300
 34 0.1331 0.1331 0.1331
 35 0.1362 0.1362 0.1362
 36 0.1394 0.1394 0.1394
 37 0.1425 0.1425 0.1425
 38 0.1457 0.1457 0.1457
 39 0.1489 0.1489 0.1489
 40 0.1521 0.1521 0.1521
 41 0.1552 0.1552 0.1552
 42 0.1585 0.1585 0.1585
 43 0.1617 0.1617 0.1617
 44 0.1649 0.1649 0.1649
 45 0.1681 0.1681 0.1681
 46 0.1714 0.1714 0.1714
 47 0.1746 0.1746 0.1746
 48 0.1779 0.1779 0.1779
 49 0.1811 0.1811 0.1811
 50 0.1844 0.1844 0.1844
 51 0.1877 0.1877 0.1877
 52 0.1910 0.1910 0.1910
 53 0.1943 0.1943 0.1943
 54 0.1976 0.1976 0.1976
 55 0.2009 0.2009 0.2009
 56 0.2042 0.2042 0.2042
 57 0.2076 0.2076 0.2076
 58 0.2109 0.2109 0.2109
 59 0.2143 0.2143 0.2143
 60 0.2176 0.2176 0.2176
 61 0.2210 0.2210 0.2210
 62 0.2244 0.2244 0.2244
 63 0.2278 0.2278 0.2278
 64 0.2312 0.2312 0.2312
 65 0.2346 0.2346 0.2346
 66 0.2380 0.2380 0.2380
 67 0.2414 0.2414 0.2414
 68 0.2448 0.2448 0.2448
 69 0.2483 0.2483 0.2483
 70 0.2517 0.2517 0.2517
 71 0.2552 0.2552 0.2552
 72 0.2586 0.2586 0.2586
 73 0.2621 0.2621 0.2621
 74 0.2656 0.2656 0.2656
 75 0.2691 0.2691 0.2691
 76 0.2726 0.2726 0.2726
