# gbpCode colour map
#    type      = iso
#    hue       = 090 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 067 to 067
  0 0.7198 0.6353 0.2701
  1 0.7140 0.6374 0.2697
  2 0.7081 0.6396 0.2695
  3 0.7021 0.6416 0.2694
  4 0.6961 0.6437 0.2695
  5 0.6901 0.6458 0.2697
  6 0.6840 0.6478 0.2701
  7 0.6779 0.6498 0.2706
  8 0.6717 0.6518 0.2713
  9 0.6655 0.6538 0.2722
 10 0.6593 0.6557 0.2731
 11 0.6530 0.6576 0.2743
 12 0.6466 0.6595 0.2756
 13 0.6402 0.6614 0.2770
 14 0.6338 0.6632 0.2786
 15 0.6274 0.6651 0.2803
 16 0.6209 0.6669 0.2822
 17 0.6143 0.6686 0.2842
 18 0.6077 0.6704 0.2864
 19 0.6011 0.6721 0.2886
 20 0.5944 0.6738 0.2911
 21 0.5877 0.6755 0.2936
 22 0.5809 0.6772 0.2963
 23 0.5741 0.6788 0.2992
 24 0.5673 0.6804 0.3021
 25 0.5604 0.6820 0.3052
 26 0.5535 0.6835 0.3084
 27 0.5465 0.6851 0.3117
 28 0.5395 0.6866 0.3152
 29 0.5324 0.6881 0.3187
 30 0.5253 0.6895 0.3224
 31 0.5181 0.6910 0.3262
 32 0.5109 0.6924 0.3301
 33 0.5036 0.6937 0.3340
 34 0.4963 0.6951 0.3381
 35 0.4889 0.6964 0.3423
 36 0.4815 0.6977 0.3466
 37 0.4739 0.6990 0.3510
 38 0.4664 0.7003 0.3555
 39 0.4587 0.7015 0.3601
 40 0.4510 0.7027 0.3647
 41 0.4432 0.7039 0.3695
 42 0.4354 0.7050 0.3743
 43 0.4275 0.7062 0.3793
 44 0.4194 0.7073 0.3843
 45 0.4113 0.7083 0.3893
 46 0.4031 0.7094 0.3945
 47 0.3948 0.7104 0.3997
 48 0.3864 0.7114 0.4050
 49 0.3779 0.7124 0.4104
 50 0.3692 0.7134 0.4158
 51 0.3604 0.7143 0.4213
 52 0.3515 0.7152 0.4269
 53 0.3424 0.7161 0.4325
