# gbpCode colour map
#    type      = linear
#    hue       = 180 degrees
#    radius    = -01 degrees
#    chroma    = 050
#    luminance = 000 to 070
  0 0.0000 0.1128 0.0000
  1 0.0000 0.1143 0.0000
  2 0.0000 0.1157 0.0000
  3 0.0000 0.1170 0.0000
  4 0.0000 0.1182 0.0000
  5 0.0000 0.1193 0.0000
  6 0.0000 0.1202 0.0000
  7 0.0000 0.1212 0.0000
  8 0.0000 0.1220 0.0000
  9 0.0000 0.1227 0.0000
 10 0.0000 0.1233 0.0000
 11 0.0000 0.1239 0.0000
 12 0.0000 0.1244 0.0000
 13 0.0000 0.1248 0.0000
 14 0.0000 0.1251 0.0000
 15 0.0000 0.1253 0.0000
 16 0.0000 0.1255 0.0000
 17 0.0000 0.1256 0.0000
 18 0.0000 0.1257 0.0000
 19 0.0000 0.1257 0.0000
 20 0.0000 0.1256 0.0000
 21 0.0000 0.1254 0.0000
 22 0.0000 0.1252 0.0000
 23 0.0000 0.1250 0.0000
 24 0.0000 0.1247 0.0000
 25 0.0000 0.1243 0.0000
 26 0.0000 0.1239 0.0000
 27 0.0000 0.1235 0.0000
 28 0.0000 0.1230 0.0000
 29 0.0218 0.1224 0.0000
 30 0.0448 0.1219 0.0000
 31 0.0636 0.1214 0.0000
 32 0.0789 0.1209 0.0000
 33 0.0921 0.1205 0.0000
 34 0.1037 0.1202 0.0000
 35 0.1141 0.1198 0.0000
 36 0.1236 0.1196 0.0000
 37 0.1324 0.1194 0.0000
 38 0.1408 0.1192 0.0000
 39 0.1492 0.1189 0.0000
 40 0.1576 0.1183 0.0000
 41 0.1661 0.1176 0.0000
 42 0.1746 0.1167 0.0000
 43 0.1832 0.1156 0.0000
 44 0.1917 0.1144 0.0000
 45 0.2003 0.1129 0.0000
 46 0.2089 0.1112 0.0000
 47 0.2175 0.1092 0.0000
 48 0.2261 0.1071 0.0000
 49 0.2347 0.1047 0.0000
 50 0.2433 0.1021 0.0000
 51 0.2519 0.0992 0.0000
