# gbpCode colour map
#    type      = linear
#    hue       = 240 degrees
#    radius    = 001 degrees
#    chroma    = 050
#    luminance = 000 to 071
  0 0.0000 0.0807 0.2508
  1 0.0000 0.0815 0.2566
  2 0.0000 0.0822 0.2623
  3 0.0000 0.0829 0.2679
  4 0.0000 0.0836 0.2734
  5 0.0000 0.0842 0.2787
  6 0.0000 0.0848 0.2839
  7 0.0000 0.0854 0.2889
  8 0.0000 0.0860 0.2939
  9 0.0000 0.0865 0.2986
 10 0.0000 0.0870 0.3033
 11 0.0000 0.0875 0.3077
 12 0.0000 0.0880 0.3120
 13 0.0000 0.0884 0.3162
 14 0.0000 0.0888 0.3202
 15 0.0000 0.0892 0.3240
 16 0.0000 0.0896 0.3277
 17 0.0000 0.0900 0.3312
 18 0.0000 0.0903 0.3346
 19 0.0000 0.0907 0.3378
 20 0.0000 0.0910 0.3408
 21 0.0000 0.0913 0.3436
 22 0.0000 0.0916 0.3463
 23 0.0000 0.0918 0.3488
 24 0.0000 0.0921 0.3512
 25 0.0000 0.0923 0.3533
 26 0.0000 0.0924 0.3553
 27 0.0000 0.0923 0.3572
 28 0.0000 0.0920 0.3588
 29 0.0000 0.0915 0.3603
 30 0.0000 0.0909 0.3616
 31 0.0000 0.0901 0.3628
 32 0.0000 0.0892 0.3638
 33 0.0000 0.0882 0.3646
 34 0.0000 0.0870 0.3652
 35 0.0000 0.0858 0.3657
 36 0.0000 0.0843 0.3660
 37 0.0000 0.0828 0.3661
 38 0.0084 0.0810 0.3661
 39 0.0411 0.0792 0.3660
 40 0.0686 0.0771 0.3656
 41 0.0903 0.0749 0.3651
 42 0.1088 0.0726 0.3645
 43 0.1253 0.0700 0.3637
 44 0.1404 0.0673 0.3627
 45 0.1545 0.0644 0.3616
 46 0.1677 0.0613 0.3604
 47 0.1803 0.0579 0.3590
 48 0.1922 0.0543 0.3574
 49 0.2037 0.0504 0.3557
 50 0.2148 0.0463 0.3539
 51 0.2255 0.0418 0.3520
 52 0.2359 0.0369 0.3499
 53 0.2460 0.0320 0.3477
 54 0.2557 0.0270 0.3454
 55 0.2652 0.0220 0.3429
 56 0.2745 0.0170 0.3404
 57 0.2835 0.0120 0.3377
 58 0.2923 0.0071 0.3349
 59 0.3009 0.0021 0.3320
 60 0.3093 0.0000 0.3290
 61 0.3175 0.0000 0.3259
 62 0.3255 0.0000 0.3227
 63 0.3333 0.0000 0.3194
 64 0.3409 0.0000 0.3160
 65 0.3484 0.0000 0.3126
 66 0.3557 0.0000 0.3090
 67 0.3627 0.0000 0.3054
 68 0.3697 0.0000 0.3017
 69 0.3764 0.0000 0.2979
 70 0.3830 0.0000 0.2941
 71 0.3894 0.0000 0.2902
 72 0.3957 0.0000 0.2862
 73 0.4018 0.0000 0.2822
 74 0.4077 0.0000 0.2781
 75 0.4135 0.0000 0.2740
 76 0.4191 0.0000 0.2698
 77 0.4245 0.0000 0.2656
 78 0.4298 0.0000 0.2613
 79 0.4350 0.0000 0.2571
 80 0.4399 0.0000 0.2527
 81 0.4447 0.0000 0.2484
 82 0.4494 0.0000 0.2440
 83 0.4539 0.0000 0.2396
 84 0.4582 0.0000 0.2352
 85 0.4624 0.0000 0.2307
 86 0.4664 0.0000 0.2262
 87 0.4703 0.0000 0.2218
 88 0.4740 0.0000 0.2173
 89 0.4776 0.0000 0.2128
 90 0.4810 0.0000 0.2083
 91 0.4843 0.0000 0.2037
 92 0.4874 0.0000 0.1992
 93 0.4903 0.0000 0.1947
 94 0.4931 0.0066 0.1902
 95 0.4958 0.0157 0.1856
 96 0.4983 0.0256 0.1811
 97 0.5006 0.0361 0.1766
 98 0.5028 0.0469 0.1720
 99 0.5049 0.0569 0.1675
100 0.5068 0.0663 0.1630
101 0.5086 0.0752 0.1584
102 0.5102 0.0838 0.1539
103 0.5117 0.0921 0.1494
104 0.5130 0.1001 0.1448
105 0.5142 0.1080 0.1403
106 0.5152 0.1156 0.1358
107 0.5161 0.1232 0.1312
108 0.5169 0.1306 0.1266
109 0.5176 0.1378 0.1221
110 0.5180 0.1450 0.1175
111 0.5184 0.1521 0.1129
112 0.5186 0.1591 0.1082
113 0.5187 0.1660 0.1036
114 0.5187 0.1728 0.0988
115 0.5185 0.1796 0.0941
116 0.5182 0.1863 0.0893
117 0.5178 0.1929 0.0844
118 0.5172 0.1995 0.0795
119 0.5165 0.2061 0.0745
120 0.5157 0.2125 0.0694
121 0.5148 0.2190 0.0642
122 0.5137 0.2253 0.0589
123 0.5125 0.2317 0.0534
124 0.5112 0.2380 0.0477
125 0.5098 0.2442 0.0418
