# gbpCode colour map
#    type      = linear
#    hue       = 270 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 000 to 070
  0 0.0000 0.0208 0.2885
  1 0.0000 0.0279 0.2910
  2 0.0000 0.0350 0.2933
  3 0.0000 0.0421 0.2956
  4 0.0000 0.0485 0.2978
  5 0.0000 0.0545 0.2999
  6 0.0000 0.0600 0.3019
  7 0.0000 0.0652 0.3038
  8 0.0000 0.0700 0.3056
  9 0.0000 0.0746 0.3073
 10 0.0000 0.0789 0.3090
 11 0.0000 0.0831 0.3105
 12 0.0000 0.0871 0.3120
 13 0.0000 0.0909 0.3133
 14 0.0000 0.0945 0.3146
 15 0.0000 0.0981 0.3158
 16 0.0000 0.1015 0.3169
 17 0.0000 0.1047 0.3179
 18 0.0000 0.1079 0.3188
 19 0.0000 0.1110 0.3196
 20 0.0000 0.1140 0.3203
 21 0.0000 0.1169 0.3210
 22 0.0000 0.1197 0.3215
 23 0.0000 0.1225 0.3220
 24 0.0000 0.1251 0.3224
 25 0.0000 0.1277 0.3227
 26 0.0000 0.1303 0.3229
 27 0.0000 0.1327 0.3230
 28 0.0000 0.1352 0.3230
 29 0.0000 0.1375 0.3229
 30 0.0000 0.1398 0.3228
 31 0.0000 0.1422 0.3226
 32 0.0000 0.1445 0.3223
 33 0.0000 0.1469 0.3219
 34 0.0000 0.1493 0.3214
 35 0.0000 0.1516 0.3208
 36 0.0000 0.1540 0.3202
 37 0.0000 0.1564 0.3195
 38 0.0000 0.1588 0.3187
 39 0.0000 0.1612 0.3178
 40 0.0000 0.1636 0.3168
 41 0.0000 0.1660 0.3158
 42 0.0000 0.1685 0.3147
 43 0.0000 0.1709 0.3135
 44 0.0000 0.1734 0.3122
 45 0.0000 0.1758 0.3109
 46 0.0000 0.1783 0.3095
 47 0.0000 0.1808 0.3080
 48 0.0000 0.1832 0.3065
 49 0.0000 0.1857 0.3049
 50 0.0000 0.1882 0.3032
 51 0.0000 0.1907 0.3015
 52 0.0000 0.1932 0.2997
 53 0.0000 0.1957 0.2978
 54 0.0000 0.1983 0.2959
 55 0.0000 0.2008 0.2939
 56 0.0000 0.2034 0.2919
 57 0.0000 0.2059 0.2898
 58 0.0000 0.2085 0.2877
 59 0.0000 0.2110 0.2855
 60 0.0000 0.2136 0.2832
 61 0.0000 0.2162 0.2809
 62 0.0000 0.2188 0.2785
 63 0.0000 0.2214 0.2761
 64 0.0000 0.2240 0.2737
 65 0.0000 0.2266 0.2712
 66 0.0000 0.2292 0.2686
 67 0.0000 0.2318 0.2661
 68 0.0000 0.2345 0.2634
 69 0.0000 0.2371 0.2608
 70 0.0000 0.2397 0.2581
 71 0.0000 0.2424 0.2553
 72 0.0000 0.2450 0.2525
 73 0.0000 0.2477 0.2497
 74 0.0000 0.2503 0.2468
 75 0.0000 0.2529 0.2440
 76 0.0000 0.2556 0.2410
 77 0.0000 0.2582 0.2381
 78 0.0000 0.2608 0.2351
 79 0.0000 0.2634 0.2321
 80 0.0000 0.2660 0.2291
 81 0.0000 0.2686 0.2260
 82 0.0000 0.2712 0.2229
 83 0.0000 0.2738 0.2198
 84 0.0000 0.2764 0.2167
 85 0.0000 0.2790 0.2135
 86 0.0000 0.2815 0.2103
 87 0.0000 0.2841 0.2071
 88 0.0000 0.2866 0.2039
 89 0.0000 0.2892 0.2007
 90 0.0000 0.2917 0.1974
 91 0.0000 0.2942 0.1941
 92 0.0000 0.2968 0.1908
 93 0.0000 0.2993 0.1875
 94 0.0000 0.3018 0.1842
 95 0.0000 0.3042 0.1808
 96 0.0000 0.3067 0.1775
 97 0.0000 0.3092 0.1741
 98 0.0000 0.3116 0.1707
 99 0.0000 0.3140 0.1673
100 0.0000 0.3165 0.1639
101 0.0000 0.3189 0.1605
102 0.0000 0.3212 0.1570
103 0.0000 0.3236 0.1536
104 0.0000 0.3260 0.1501
105 0.0000 0.3283 0.1466
106 0.0000 0.3307 0.1431
107 0.0000 0.3330 0.1396
108 0.0000 0.3353 0.1361
109 0.0000 0.3376 0.1325
110 0.0000 0.3398 0.1290
111 0.0000 0.3421 0.1254
112 0.0000 0.3443 0.1218
113 0.0000 0.3465 0.1182
114 0.0000 0.3487 0.1146
115 0.0000 0.3509 0.1109
116 0.0000 0.3530 0.1073
117 0.0000 0.3551 0.1036
118 0.0000 0.3572 0.0999
119 0.0000 0.3593 0.0962
120 0.0000 0.3614 0.0924
121 0.0000 0.3634 0.0886
122 0.0000 0.3655 0.0848
123 0.0000 0.3674 0.0810
124 0.0000 0.3694 0.0771
125 0.0192 0.3714 0.0732
126 0.0475 0.3733 0.0693
127 0.0705 0.3752 0.0653
128 0.0893 0.3771 0.0613
129 0.1058 0.3789 0.0572
130 0.1207 0.3808 0.0531
131 0.1345 0.3826 0.0489
132 0.1474 0.3843 0.0446
133 0.1597 0.3861 0.0403
134 0.1715 0.3878 0.0360
135 0.1828 0.3895 0.0318
136 0.1938 0.3912 0.0279
137 0.2044 0.3928 0.0242
138 0.2148 0.3944 0.0207
139 0.2250 0.3960 0.0174
140 0.2350 0.3975 0.0143
141 0.2449 0.3991 0.0114
142 0.2546 0.4006 0.0088
143 0.2641 0.4020 0.0063
144 0.2736 0.4035 0.0041
145 0.2829 0.4049 0.0021
146 0.2922 0.4063 0.0003
147 0.3013 0.4076 0.0000
148 0.3104 0.4089 0.0000
149 0.3194 0.4102 0.0000
150 0.3284 0.4115 0.0000
151 0.3373 0.4127 0.0000
152 0.3461 0.4139 0.0000
153 0.3549 0.4151 0.0000
154 0.3637 0.4162 0.0000
155 0.3724 0.4173 0.0000
156 0.3811 0.4184 0.0000
157 0.3897 0.4195 0.0000
158 0.3983 0.4205 0.0000
159 0.4069 0.4215 0.0008
160 0.4154 0.4224 0.0028
161 0.4239 0.4234 0.0053
162 0.4324 0.4243 0.0080
163 0.4408 0.4251 0.0111
164 0.4493 0.4260 0.0146
165 0.4577 0.4268 0.0185
166 0.4660 0.4276 0.0227
167 0.4743 0.4284 0.0274
168 0.4827 0.4291 0.0325
169 0.4909 0.4298 0.0381
170 0.4992 0.4305 0.0439
171 0.5074 0.4312 0.0497
172 0.5156 0.4318 0.0555
173 0.5238 0.4324 0.0613
174 0.5319 0.4330 0.0670
175 0.5400 0.4335 0.0728
176 0.5481 0.4341 0.0785
177 0.5561 0.4346 0.0843
178 0.5642 0.4351 0.0901
179 0.5721 0.4356 0.0959
180 0.5801 0.4360 0.1018
181 0.5880 0.4365 0.1076
182 0.5959 0.4369 0.1135
183 0.6037 0.4373 0.1194
184 0.6115 0.4377 0.1254
185 0.6193 0.4380 0.1314
186 0.6270 0.4384 0.1374
187 0.6347 0.4387 0.1435
188 0.6424 0.4391 0.1496
189 0.6500 0.4394 0.1558
190 0.6576 0.4397 0.1620
191 0.6651 0.4400 0.1683
192 0.6726 0.4403 0.1746
193 0.6800 0.4406 0.1810
194 0.6874 0.4409 0.1874
195 0.6947 0.4412 0.1938
196 0.7020 0.4415 0.2004
197 0.7092 0.4418 0.2069
198 0.7164 0.4421 0.2136
199 0.7235 0.4424 0.2203
200 0.7305 0.4427 0.2270
201 0.7375 0.4430 0.2338
202 0.7445 0.4433 0.2407
203 0.7514 0.4436 0.2476
204 0.7582 0.4440 0.2546
205 0.7650 0.4443 0.2616
206 0.7716 0.4447 0.2688
207 0.7783 0.4451 0.2759
208 0.7848 0.4455 0.2831
